INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES
amitriptyline,Approved Name,DTXSID7022594,Amitriptyline,DTXCID502594,50-48-6,KRMDCWKBEZIMAB-UHFFFAOYSA-N,"3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine",CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
amphotericin B,Approved Name,DTXSID9022601,Amphotericin B,DTXCID802601,1397-89-3,APKFDSVGJQXUKY-INPOYWNPSA-N,"(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(3-Amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy]-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",C[C@H]1O[C@@H](O[C@@H]2C[C@@H]3O[C@@](O)(C[C@H](O)[C@H]3C(O)=O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\2)[C@@H](O)[C@@H](N)[C@@H]1O
aspirin,Approved Name,DTXSID5020108,Aspirin,DTXCID50108,50-78-2,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2-(Acetyloxy)benzoic acid,CC(=O)OC1=C(C=CC=C1)C(O)=O
bendazac,Approved Name,DTXSID1048334,Bendazac,DTXCID2028309,20187-55-7,BYFMCKSPFYVMOU-UHFFFAOYSA-N,[(1-Benzyl-1H-indazol-3-yl)oxy]acetic acid,OC(=O)COC1=NN(CC2=CC=CC=C2)C2=C1C=CC=C2
benziodarone,Approved Name,DTXSID1046134,Benziodarone,DTXCID9026134,68-90-6,CZCHIEJNWPNBDE-UHFFFAOYSA-N,"(2-Ethyl-1-benzofuran-3-yl)(4-hydroxy-3,5-diiodophenyl)methanone",CCC1=C(C(=O)C2=CC(I)=C(O)C(I)=C2)C2=C(O1)C=CC=C2
bromobenzene,Approved Name,DTXSID5024637,Bromobenzene,DTXCID304637,108-86-1,QARVLSVVCXYDNA-UHFFFAOYSA-N,Bromobenzene,BrC1=CC=CC=C1
captopril,Approved Name,DTXSID1037197,Captopril,DTXCID9017197,62571-86-2,FAKRSMQSSFJEIM-RQJHMYQMSA-N,1-[(2S)-2-Methyl-3-sulfanylpropanoyl]-L-proline,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
carbamazepine,Approved Name,DTXSID4022731,Carbamazepine,DTXCID902731,298-46-4,FFGPTBGBLSHEPO-UHFFFAOYSA-N,"5H-Dibenzo[b,f]azepine-5-carboxamide",NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
carbon tetrachloride,Approved Name,DTXSID8020250,Carbon tetrachloride,DTXCID20250,56-23-5,VZGDMQKNWNREIO-UHFFFAOYSA-N,Tetrachloromethane,ClC(Cl)(Cl)Cl
carboplatin,Approved Name,DTXSID3046742,Carboplatin,DTXCID201476080,41575-94-4,OLESAACUTLOWQZ-UHFFFAOYSA-L,"Diammine[cyclobutane-1,1-dicarboxylato(2-)-kappa~2~O~1~,O~1~]platinum",[H][N]([H])([H])[Pt++]1([O-]C(=O)C2(CCC2)C(=O)[O-]1)[N]([H])([H])[H]
chloramphenicol,Approved Name,DTXSID7020265,Chloramphenicol,DTXCID90265,56-75-7,WIIZWVCIJKGZOK-RKDXNWHRSA-N,"2,2-Dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
chlormezanone,Approved Name,DTXSID3022798,Chlormezanone,DTXCID502798,80-77-3,WEQAYVWKMWHEJO-UHFFFAOYSA-N,"2-(4-Chlorophenyl)-3-methyl-1lambda~6~,3-thiazinane-1,1,4-trione",CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O
chlorpheniramine,Approved Name,DTXSID0022804,Chlorpheniramine,DTXCID402804,132-22-9,SOYKEARSMXGVTM-UHFFFAOYSA-N,"3-(4-Chlorophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-amine",CN(C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1
chlorpropamide,Approved Name,DTXSID9020322,Chlorpropamide,DTXCID30322,94-20-2,RKWGIWYCVPQPMF-UHFFFAOYSA-N,4-Chloro-N-(propylcarbamoyl)benzene-1-sulfonamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
cimetidine,Approved Name,DTXSID4020329,Cimetidine,DTXCID40329,51481-61-9,AQIXAKUUQRKLND-UHFFFAOYSA-N,N''-Cyano-N-methyl-N'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl}ethyl)guanidine,CNC(NCCSCC1=C(C)NC=N1)=NC#N
ciprofloxacin,Approved Name,DTXSID8022824,Ciprofloxacin,DTXCID002824,85721-33-1,MYSWGUAQZAJSOK-UHFFFAOYSA-N,"1-Cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid",OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
cisplatin,Approved Name,DTXSID4024983,Cisplatin,DTXCID804983,15663-27-1,DQLATGHUWYMOKM-UHFFFAOYSA-L,Diammine(dichlorido)platinum,N[Pt](N)(Cl)Cl
clofibrate,Approved Name,DTXSID3020336,Clofibrate,DTXCID70336,637-07-0,KNHUKKLJHYUCFP-UHFFFAOYSA-N,Ethyl 2-(4-chlorophenoxy)-2-methylpropanoate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
colchicine,Approved Name,DTXSID5024845,Colchicine,DTXCID204845,64-86-8,IAKHMKGGTNLKSZ-INIZCTEOSA-N,"N-[(7S)-1,2,3,10-Tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl]acetamide",COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O
coumarin,Approved Name,DTXSID7020348,Coumarin,DTXCID50348,91-64-5,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,2H-1-Benzopyran-2-one,O=C1OC2=C(C=CC=C2)C=C1
cyclophosphamide,Approved Name,DTXSID5020364,Cyclophosphamide,DTXCID70364,50-18-0,CMSMOCZEIVJLDB-UHFFFAOYSA-N,"2-[Bis(2-chloroethyl)amino]-1,3,2lambda~5~-oxazaphosphinan-2-one",ClCCN(CCCl)P1(=O)NCCCO1
dantrolene,Approved Name,DTXSID7022881,Dantrolene,DTXCID602881,7261-97-4,OZOMQRBLCMDCEG-UHFFFAOYSA-N,"1-({[5-(4-Nitrophenyl)furan-2-yl]methylidene}amino)imidazolidine-2,4-dione",[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O
desmopressin acetate,Approved Name,DTXSID4046864,Desmopressin acetate,DTXCID501510291,62288-83-9,MLSVJHOYXJGGTR-IFHOVBQLSA-N,"Acetic acid--1-{(4R,7S,10S,13S,16S)-7-(2-amino-2-oxoethyl)-10-(3-amino-3-oxopropyl)-13-benzyl-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentaazacycloicosane-4-carbonyl}-L-prolyl-D-arginylglycinamide (1/1)",CC(O)=O.NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
diclofenac,Approved Name,DTXSID6022923,Diclofenac,DTXCID802923,15307-86-5,DCOPUUMXTXDBNB-UHFFFAOYSA-N,"[2-(2,6-Dichloroanilino)phenyl]acetic acid",OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
diltiazem,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID50881104,Diltiazem,DTXCID30196864,34933-06-7,HSUGRBWQSSZJOP-UHFFFAOYSA-N,"5-[2-(Dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate",COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O
diltiazem,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID9022940,(+)-Diltiazem,DTXCID202940,42399-41-7,HSUGRBWQSSZJOP-RTWAWAEBSA-N,"(2S,3S)-5-[2-(Dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate",COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
enalapril,Approved Name,DTXSID5022982,Enalapril,DTXCID202982,75847-73-3,GBXSMTUPTTWBMN-XIRDDKMYSA-N,N-[(2S)-1-Ethoxy-1-oxo-4-phenylbutan-2-yl]-L-alanyl-L-proline,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
ethanol,Approved Name,DTXSID9020584,Ethanol,DTXCID30584,64-17-5,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Ethanol,CCO
ethinylestradiol,Synonym from Valid Source,DTXSID5020576,17alpha-Ethinylestradiol,DTXCID70576,57-63-6,BFPYWIDHMRZLRN-SLHNCBLASA-N,"17alpha-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
ethionamide,Approved Name,DTXSID0020577,Ethionamide,DTXCID00577,536-33-4,AEOCXXJPGCBFJA-UHFFFAOYSA-N,2-Ethylpyridine-4-carbothioamide,CCC1=NC=CC(=C1)C(N)=S
ethionine,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID0020579,dl-Ethionine,DTXCID60579,67-21-0,GGLZPLKKBSSKCX-UHFFFAOYSA-N,S-Ethylhomocysteine,CCSCCC(N)C(O)=O
ethionine,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID5020578,Ethionine,DTXCID30578,13073-35-3,GGLZPLKKBSSKCX-YFKPBYRVSA-N,S-Ethyl-L-homocysteine,CCSCC[C@H](N)C(O)=O
etoposide,Approved Name,DTXSID5023035,Etoposide,DTXCID601473876,33419-42-0,VJJPUSNTGOMMGY-MRVIYFEKSA-N,"(5S,5aR,8aR,9R)-9-(4-Hydroxy-3,5-dimethoxyphenyl)-8-oxo-5,5a,6,8,8a,9-hexahydro-2H-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-5-yl 4,6-O-[(1R)-ethylidene]-beta-D-glucopyranoside",[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
fluoxetine hydrochloride,Approved Name,DTXSID7020635,Fluoxetine hydrochloride,DTXCID70635,56296-78-7,GIYXAJPCNFJEHY-UHFFFAOYSA-N,N-Methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine--hydrogen chloride (1/1),Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
flutamide,Approved Name,DTXSID7032004,Flutamide,DTXCID9011121,13311-84-7,MKXKFYHWDHIYRV-UHFFFAOYSA-N,2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
furosemide,Approved Name,DTXSID6020648,Furosemide,DTXCID80648,54-31-9,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,4-Chloro-2-{[(furan-2-yl)methyl]amino}-5-sulfamoylbenzoic acid,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
gemfibrozil,Approved Name,DTXSID0020652,Gemfibrozil,DTXCID20652,25812-30-0,HEMJJKBWTPKOJG-UHFFFAOYSA-N,"5-(2,5-Dimethylphenoxy)-2,2-dimethylpentanoic acid",CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
gentamicin,Approved Name,DTXSID5034642,Gentamicin,N/A,1403-66-3,N/A,N/A,N/A
glibenclamide,Expert Validated Synonym,DTXSID0037237,Glybenclamide,DTXCID8017237,10238-21-8,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,5-Chloro-N-(2-{4-[(cyclohexylcarbamoyl)sulfamoyl]phenyl}ethyl)-2-methoxybenzamide,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
griseofulvin,Approved Name,DTXSID8020674,Griseofulvin,DTXCID20674,126-07-8,DDUHZTYCFQRHIY-RBHXEPJQSA-N,"(1'S,6'R)-7-Chloro-2',4,6-trimethoxy-6'-methyl-3H-spiro[[1]benzofuran-2,1'-cyclohex[2]ene]-3,4'-dione",COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC
hexachlorobenzene,Approved Name,DTXSID2020682,Hexachlorobenzene,DTXCID80682,118-74-1,CKAPSXZOOQJIBF-UHFFFAOYSA-N,Hexachlorobenzene,ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
ketoconazole,Approved Name,DTXSID7029879,Ketoconazole,DTXCID301437106,65277-42-1,XMAYWYJOQHXEEK-GRHWAJSLNA-N,"1-{4-[4-({(2R,4S)-2-(2,4-Dichlorophenyl)-2-[(1H-imidazol-1-yl)methyl]-1,3-dioxolan-4-yl}methoxy)phenyl]piperazin-1-yl}ethan-1-one",CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
labetalol,Approved Name,DTXSID2023191,Labetalol,DTXCID603191,36894-69-6,SGUAFYQXFOLMHL-UHFFFAOYSA-N,2-Hydroxy-5-{1-hydroxy-2-[(4-phenylbutan-2-yl)amino]ethyl}benzamide,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O
lomustine,Approved Name,DTXSID2023222,Lomustine,DTXCID103222,13010-47-4,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,N-(2-Chloroethyl)-N'-cyclohexyl-N-nitrosourea,ClCCN(N=O)C(=O)NC1CCCCC1
lornoxicam,Approved Name,DTXSID6046133,Lornoxicam,DTXCID4026133,70374-39-9,QOFQTBTZCJVITI-UHFFFAOYSA-N,"6-Chloro-2-methyl-1,1,4-trioxo-N-(pyridin-2-yl)-1,2,3,4-tetrahydro-1lambda~6~-thieno[2,3-e][1,2]thiazine-3-carboxamide",CN1C(C(=O)NC2=CC=CC=N2)C(=O)C2=C(C=C(Cl)S2)S1(=O)=O
mefenamic acid,Approved Name,DTXSID5023243,Mefenamic acid,DTXCID103243,61-68-7,HYYBABOKPJLUIN-UHFFFAOYSA-N,"2-(2,3-Dimethylanilino)benzoic acid",CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1
meloxicam,Approved Name,DTXSID1020803,Meloxicam,DTXCID70803,71125-38-7,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,"4-Hydroxy-2-methyl-N-(5-methyl-1,3-thiazol-2-yl)-1,1-dioxo-1,2-dihydro-1lambda~6~,2-benzothiazine-3-carboxamide",CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=CC=CC=C2S1(=O)=O
metformin,Approved Name,DTXSID2023270,Metformin,DTXCID803270,657-24-9,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"N,N-Dimethyltriimidodicarbonic diamide",CN(C)C(=N)NC(N)=N
methyldopa,Synonym,DTXSID5023295,(-)-Methyldopa,DTXCID403295,555-30-6,CJCSPKMFHVPWAR-JTQLQIEISA-N,3-Hydroxy-alpha-methyl-L-tyrosine,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O
methyltestosterone,Synonym from Valid Source,DTXSID1033664,17-Methyltestosterone,DTXCID9013664,58-18-4,GCKMFJBGXUYNAG-HLXURNFRSA-N,17beta-Hydroxy-17alpha-methylandrost-4-en-3-one,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
naphthyl isothiocyanate,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nimesulide,Approved Name,DTXSID3037250,Nimesulide,DTXCID1017250,51803-78-2,HYWYRSMBCFDLJT-UHFFFAOYSA-N,N-(4-Nitro-2-phenoxyphenyl)methanesulfonamide,CS(=O)(=O)NC1=CC=C(C=C1OC1=CC=CC=C1)[N+]([O-])=O
nitrofurantoin,Approved Name,DTXSID7020972,Nitrofurantoin,DTXCID90972,67-20-9,NXFQHRVNIOXGAQ-UHFFFAOYSA-N,"1-{[(5-Nitrofuran-2-yl)methylidene]amino}imidazolidine-2,4-dione",[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O
nitrofurazone,Approved Name,DTXSID5020944,Nitrofurazone,DTXCID30809629,59-87-0,IAIWVQXQOWNYOU-UHFFFAOYSA-N,2-[(5-Nitrofuran-2-yl)methylidene]hydrazine-1-carboxamide,NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O
nitrosodiethylamine,Synonym from Valid Source,DTXSID2021028,N-Nitrosodiethylamine,DTXCID901028,55-18-5,WBNQDOYYEUMPFS-UHFFFAOYSA-N,"N,N-Diethylnitrous amide",CCN(CC)N=O
omeprazole,Approved Name,DTXSID6021080,Omeprazole,DTXCID501080,73590-58-6,SUBDBMMJDZJVOS-UHFFFAOYSA-N,"5-Methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methanesulfinyl]-1H-benzimidazole",COC1=CC2=C(NC(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1
pemoline,Approved Name,DTXSID3023427,Pemoline,DTXCID503427,2152-34-3,NRNCYVBFPDDJNE-UHFFFAOYSA-N,"2-Amino-5-phenyl-1,3-oxazol-4(5H)-one",NC1=NC(=O)C(O1)C1=CC=CC=C1
phenobarbital,Approved Name,DTXSID5021122,Phenobarbital,DTXCID701122,50-06-6,DDBREPKUVSBGFI-UHFFFAOYSA-N,"5-Ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1
promethazine,Approved Name,DTXSID7023518,Promethazine,DTXCID803518,60-87-7,PWWVAXIEGOYWEE-UHFFFAOYSA-N,"N,N-Dimethyl-1-(10H-phenothiazin-10-yl)propan-2-amine",CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C
ranitidine,Approved Name,DTXSID8045191,Ranitidine,DTXCID00820068,66357-35-5,VMXUWOKSQNHOCA-UHFFFAOYSA-N,"N~1~-{2-[({5-[(Dimethylamino)methyl]furan-2-yl}methyl)sulfanyl]ethyl}-N'~1~-methyl-2-nitroethene-1,1-diamine",CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
rifampicin,Approved Name,DTXSID6021244,Rifampicin,DTXCID301244,13292-46-1,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"(2S,12Z,14E,16S,17S,18R,19R,20R,21S,22R,23S,24E)-5,6,9,17,19-Pentahydroxy-23-methoxy-2,4,12,16,18,20,22-heptamethyl-8-{(E)-[(4-methylpiperazin-1-yl)imino]methyl}-1,11-dioxo-1,2-dihydro-2,7-(epoxypentadeca[1,11,13]trienoimino)naphtho[2,1-b]furan-21-yl acetate",CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O
simvastatin,Approved Name,DTXSID0023581,Simvastatin,DTXCID103581,79902-63-9,RYMZZMVNJRMUDD-HGQWONQESA-N,"(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-Hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2,2-dimethylbutanoate",CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
sulfasalazine,Approved Name,DTXSID0021256,Sulfasalazine,DTXCID80809755,599-79-1,NCEXYHBECQHGNR-UHFFFAOYSA-N,2-Hydroxy-5-({4-[(pyridin-2-yl)sulfamoyl]phenyl}diazenyl)benzoic acid,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
tamoxifen,Approved Name,DTXSID1034187,Tamoxifen,DTXCID9014187,10540-29-1,NKANXQFJJICGDU-QPLCGJKRSA-N,"2-{4-[(1Z)-1,2-Diphenylbut-1-en-1-yl]phenoxy}-N,N-dimethylethan-1-amine",CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
tannic acid,Approved Name,DTXSID2026076,Tannic acid,N/A,1401-55-4,N/A,N/A,N/A
terbinafine,Approved Name,DTXSID2023640,Terbinafine,DTXCID703640,91161-71-6,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,"(2E)-N,6,6-Trimethyl-N-[(naphthalen-1-yl)methyl]hept-2-en-4-yn-1-amine",CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2
tetracycline,Approved Name,DTXSID7023645,Tetracycline,DTXCID703645,60-54-8,OFVLGDICTFRJMM-WESIUVDSSA-N,"(4S,4aS,5aS,6S,12aS)-4-(Dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
thioridazine,Approved Name,DTXSID6023656,Thioridazine,DTXCID403656,50-52-2,KLBQZWRITKRQQV-UHFFFAOYSA-N,10-[2-(1-Methylpiperidin-2-yl)ethyl]-2-(methylsulfanyl)-10H-phenothiazine,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
trimethadione,Approved Name,DTXSID9021396,Trimethadione,DTXCID801396,127-48-0,IRYJRGCIQBGHIV-UHFFFAOYSA-N,"3,5,5-Trimethyl-1,3-oxazolidine-2,4-dione",CN1C(=O)OC(C)(C)C1=O
valproic acid,Approved Name,DTXSID6023733,Valproic acid,DTXCID803733,99-66-1,NIJJYAXOARWZEE-UHFFFAOYSA-N,2-Propylpentanoic acid,CCCC(CCC)C(O)=O
